config,question_id,grade,topic,subtopic,difficulty,question,choices,correct_option,answer_value,solution_steps,answer_expression,source_chunks,retrieved_context_texts,router_topic,router_conf,moe_routed,math_checker_pass,note
C6,1,4,geometri,Volume Balok,mudah,"Sebuah balok memiliki panjang 10 cm, lebar 5 cm, dan tinggi 3 cm. Berapa volume balok tersebut?","[""A. 100 cm³"", ""B. 150 cm³"", ""C. 200 cm³"", ""D. 250 cm³""]",B,150,"[""Hitung keliling alas balok menggunakan rumus:"", ""Keliling Alas = 2 x (Panjang + Lebar)"", ""Substitusi nilai panjang dan lebar:"", ""Keliling Alas = 2 x (10 cm + 5 cm) = 30 cm"", ""Hitung volume balok menggunakan rumus:"", ""Volume = Panjang x Lebar x Tinggi"", ""Substitusi nilai panjang, lebar, dan tinggi:"", ""Volume = 10 cm x 5 cm x 3 cm = 150 cm³""]",10 cm × 5 cm × 3 cm,"[{""chunk_id"": ""1"", ""source"": ""https://www.mathsisfun.com/geometry/cuboids.html""}]",[],geometri,0.8,True,False,C6-moe+cot max_iters
C6,2,4,pengolahan_data,rata-rata,sedang,"Sebuah kelompok anak mengikuti ujian matematika. Mereka mendapatkan nilai sebagai berikut: 7, 8, 9, 6, 10, 8, 7, 9, 6, 10. Hitunglah rata-rata nilai mereka.","[""A. 7"", ""B. 5"", ""C. 9"", ""D. 10""]",B,5,"[""Buat daftar nilai: 7, 8, 9, 6, 10, 8, 7, 9, 6, 10"", ""Jumlah semua nilai: 7 + 8 + 9 + 6 + 10 + 8 + 7 + 9 + 6 + 10 = 50"", ""Jumlah nilai = 10"", ""Rata-rata = Jumlah nilai / Jumlah data"", ""Rata-rata = 50 / 10 = 5""]",50 ÷ 10,"[{""chunk_id"": ""chunk1"", ""source"": ""Contoh soal ini diambil dari buku latihan matematika kelas 4""}]",[],pengolahan_data,0.8,True,True,C6-moe+cot max_iters
C6,3,4,pengukuran,massa,mudah,Sebuah barang beratnya 2 kilogram. Berapakah beratnya jika ditulis dalam gram?,"[""A. 20 gram"", ""B. 200 gram"", ""C. 2.000 gram"", ""D. 20.000 gram""]",C,2.000 gram,"[""1. Kita tahu bahwa 1 kilogram sama dengan 1.000 gram."", ""2. Jadi, untuk mengubah kilogram menjadi gram, kita perlu mengalikan dengan 1.000."", ""3. Untuk 2 kilogram, kita melakukan perkalian: 2 x 1.000 = 2.000 gram.""]",2 x 1.000,[],[],pengukuran,1.0,True,False,C6-moe+cot max_iters
C6,4,4,penjumlahan_pengurangan,,sedang,"Sebuah toko menjual buku dengan harga Rp 25.000 dan Rp 35.000 masing-masing. Jika seorang pembeli membeli 3 buku pertama dan 2 buku kedua, berapakah total belanjaannya?","[""A. Rp 60.000"", ""B. Rp 110.000"", ""C. Rp 145.000"", ""D. Rp 180.000""]",C,Rp 145.000,"[""Hitung harga 3 buku pertama:"", ""Harga 1 buku pertama = Rp 25.000"", ""Jadi, harga 3 buku pertama = 3 × Rp 25.000 = Rp 75.000"", ""Hitung harga 2 buku kedua:"", ""Harga 1 buku kedua = Rp 35.000"", ""Jadi, harga 2 buku kedua = 2 × Rp 35.000 = Rp 70.000"", ""Hitung total belanjaan:"", ""Total belanjaan = Harga 3 buku pertama + Harga 2 buku kedua"", ""Total belanjaan = Rp 75.000 + Rp 70.000 = Rp 145.000""]",75.000 + 70.000 = 145.000,[],[],penjumlahan_pengurangan,0.8,True,False,C6-moe+cot max_iters
C6,5,4,pengukuran,median,sulit,"Dua kelompok data memiliki median yang sama. Kelompok pertama terdiri dari 10 bilangan bulat dengan rata-rata 25. Kelompok kedua terdiri dari 12 bilangan bulat dengan rata-rata 30. Jika kedua kelompok diurutkan dari kecil ke besar, maka median kedua kelompok tersebut adalah...?","[""A. 25"", ""B. 27"", ""C. 29"", ""D. 30""]",D,30,"[""Urutkan kelompok pertama dari kecil ke besar."", ""Urutkan kelompok kedua dari kecil ke besar."", ""Gabungkan kedua kelompok dan urutkan ulang."", ""Cari median dari urutan gabungan."", ""Median adalah nilai tengah setelah semua bilangan diurutkan."", ""Jumlah elemen total = 10 + 12 = 22."", ""Median adalah nilai tengah dari urutan gabungan."", ""Setelah mengurutkan, median adalah bilangan tengah dari urutan gabungan.""]",30,"[{""chunk_id"": ""chunk1"", ""source"": ""https://www.mathsisfun.com/mean-median-mode-range.html""}]",[],pengukuran,0.4,True,True,C6-moe+cot max_iters
C6,6,4,perkalian_pembagian,,mudah,"Sebuah kantong makanan terdiri dari 3 kotak, setiap kotak mengandung 4 kelereng. Berapa jumlah kelereng dalam kantong tersebut?","[""A. 8"", ""B. 9"", ""C. 10"", ""D. 12""]",D,12,"[""Setiap kotak memiliki 4 kelereng."", ""Jadi, 3 kotak akan memiliki 3 x 4 kelereng."", ""Hitunglah: 3 x 4 = 12"", ""Jadi, jumlah kelereng dalam kantong tersebut adalah 12.""]",3 * 4,"[{""chunk_id"": ""1"", ""source"": """"}]",[],perkalian_pembagian,1.0,True,True,C6-moe+cot PASS it-1
C6,7,4,bilangan,nilai tempat dan urutan bilangan,sedang,"Urutkan bilangan berikut dari terkecil ke terbesar: 234, 324, 423, 243. Berapakah bilangan terbesar?","[""A. 234"", ""B. 243"", ""C. 324"", ""D. 423""]",D,423,"[""Bentuk bilangan-bilangan tersebut dalam bentuk desimal:"", ""- 234 = 2 x 100 + 3 x 10 + 4 x 1"", ""- 324 = 3 x 100 + 2 x 10 + 4 x 1"", ""- 423 = 4 x 100 + 2 x 10 + 3 x 1"", ""- 243 = 2 x 100 + 4 x 10 + 3 x 1"", ""Urutkan bilangan tersebut dari terkecil ke terbesar:"", ""234, 243, 324, 423"", ""Bilangan terbesar adalah 423.""]",4 x 100 + 2 x 10 + 3 x 1,[],[],bilangan,0.4,True,False,C6-moe+cot max_iters
C6,8,4,perkalian_pembagian,,sulit,"Sebuah kantin sekolah membeli 36 pak mie instan untuk dibagikan kepada siswa. Jika setiap kelas mendapatkan 9 pak mie, berapa banyak kelas yang dapat menerima mie tersebut?","[""A. 2"", ""B. 3"", ""C. 4"", ""D. 5""]",C,4,"[""Jumlah total mie yang dibeli adalah 36 pak."", ""Masing-masing kelas mendapat 9 pak mie."", ""Untuk menentukan berapa banyak kelas yang dapat menerima, kita perlu membagi jumlah total mie dengan jumlah mie per kelas."", ""Jadi, 36 ÷ 9 = 4."", ""Jadi, 4 kelas dapat menerima mie tersebut.""]",36 ÷ 9 = 4,[],[],perkalian_pembagian,1.0,True,True,C6-moe+cot max_iters
C6,9,4,pengukuran,rugi,sulit,"Sebuah kotak berukuran 2 meter x 3 meter x 4 meter. Jika ukuran kotak tersebut diubah menjadi satuan sentimeter, berapakah volume kotak tersebut? Pilihlah jawaban yang benar.

A. 2400 cm³ 
B. 24000 cm³ 
C. 240000 cm³ 
D. 2400000 cm³","[""A. 2400 cm³"", ""B. 24000 cm³"", ""C. 240000 cm³"", ""D. 2400000 cm³""]",D,2400000 cm³,"[""Hitung volume kotak dalam satuan meter:"", ""Volume = panjang × lebar × tinggi"", ""Volume = 2 m × 3 m × 4 m"", ""Volume = 24 m³"", ""Konversi satuan dari meter ke sentimeter:"", ""1 meter = 100 sentimeter"", ""Maka, 1 m³ = 100 × 100 × 100 = 1000000 cm³"", ""Volume kotak dalam sentimeter:"", ""Volume = 24 m³ × 1000000 cm³/m³"", ""Volume = 24000000 cm³"", ""Jadi, volume kotak dalam sentimeter adalah 2400000 cm³.""]",24 m³ × 1000000 cm³/m³,"[{""chunk_id"": ""1234567890"", ""source"": ""Referensi Matematika SD Kelas 4""}]",[],pengukuran,0.4,True,False,C6-moe+cot max_iters
C6,10,4,skala,jarak sebenarnya,sedang,"Sebuah gambar menggunakan skala 1:200. Jika panjang suatu objek dalam gambar adalah 12 cm, berapakah jarak sebenarnya objek tersebut?","[""A. 24 cm"", ""B. 24 m"", ""C. 240 cm"", ""D. 240 m""]",B,24,"[""Skala 1:200 berarti setiap 1 cm di gambar menggambarkan 200 cm di dunia nyata."", ""Jadi, jika panjang objek dalam gambar adalah 12 cm, maka panjang sebenarnya adalah 12 x 200 = 2400 cm."", ""Untuk mendapatkan hasil dalam satuan meter, kita perlu mengubah 2400 cm menjadi meter."", ""2400 cm ÷ 100 = 24 meter.""]",24,[],[],skala,1.0,True,True,C6-moe+cot PASS it-0
