config,question_id,grade,topic,subtopic,difficulty,question,choices,correct_option,answer_value,solution_steps,answer_expression,source_chunks,retrieved_context_texts,router_topic,router_conf,moe_routed,math_checker_pass,note
C3,1,4,kpk_fpb,menentukan FPB,sedang,Diketahui dua bilangan 36 dan 48. Tentukan faktor persekutuan terbesar (FPB) dari kedua bilangan tersebut!,"[""A. 12"", ""B. 18"", ""C. 24"", ""D. 36""]",D,12,"[""Identifikasi faktor-faktor dari 36:"", ""- 1, 2, 3, 4, 6, 9, 12, 18, 36"", ""Identifikasi faktor-faktor dari 48:"", ""- 1, 2, 3, 4, 6, 8, 12, 16, 24, 48"", ""Identifikasi faktor persekutuan dari kedua bilangan:"", ""- 1, 2, 3, 4, 6, 12"", ""Identifikasi faktor persekutuan terbesar dari faktor-faktor tersebut:"", ""- 12"", ""Jadi, faktor persekutuan terbesar (FPB) dari 36 dan 48 adalah 12."", ""Perhatikan bahwa 36 juga merupakan faktor persekutuan dari 36 dan 48.""]",12,"[{""chunk_id"": ""id1"", ""source"": ""Contoh soal ini cocok untuk siswa kelas 4 SD yang sedang belajar tentang faktor persekutuan terbesar (FPB).""}, {""chunk_id"": ""id2"", ""source"": ""Untuk mempermudah pemahaman, siswa dapat mencoba mencari faktor dari setiap bilangan terlebih dahulu. Misalnya, faktor dari 36 adalah 1, 2, 3, 4, 6, 9, 12, 18, dan 36.""}]",[],kpk_fpb,0.0,False,True,C3-cot max_iters
C3,2,4,pengukuran,massa,mudah,"Sebuah mangkuk berisi es batu memiliki massa 120 gram. Jika massa es batu tersebut dikalikan dengan 3, maka berapa massa totalnya?","[""A. 150 gram"", ""B. 240 gram"", ""C. 360 gram"", ""D. 480 gram""]",C,360 gram,"[""Mula-mula, kita perlu mengalikan massa es batu dengan 3."", ""Jadi, 120 gram dikali 3 sama dengan 360 gram.""]",120 * 3 = 360,"[{""chunk_id"": ""1"", ""source"": ""https://www.smponline.com/matematika/""}]",[],pengukuran,0.0,False,False,C3-cot max_iters
C3,3,4,statistik,nilai_tengah,sulit,"Sebuah kelompok anak mengikuti ujian dan mendapatkan nilai sebagai berikut: 7, 12, 15, 18, 20, 22, 25. Nilai tengah dari data tersebut adalah...?","[""A. 7"", ""B. 12"", ""C. 15"", ""D. 25""]",C,15,"[""Urutkan data dari terkecil ke terbesar: 7, 12, 15, 18, 20, 22, 25"", ""Jumlah data = 7"", ""Data ke-n = (n+1)/2 = (7+1)/2 = 4"", ""Nilai tengah adalah data ke-4, yaitu 15""]",15,[],[],pengolahan_data,0.0,False,True,C3-cot max_iters
C3,4,4,Pecahan,Pengurangan Pecahan,sulit,Sebuah permen dibagi menjadi tiga bagian sama besar. Seorang anak makan dua bagian dari permen itu. Berapa bagian permen yang tersisa? Tuliskan jawabannya dalam bentuk pecahan.,"[""A. \\\\\\( \\\\frac{1}{2} \\\\\\)"", ""B. \\\\\\( \\\\frac{1}{3} \\\\\\)"", ""C. \\\\\\( \\\\frac{2}{3} \\\\\\)"", ""D. \\\\\\( \\\\frac{3}{4} \\\\\\)""]",B,\\\( \\frac{1}{3} \\\),"[""Permen dibagi menjadi tiga bagian sama besar, jadi setiap bagian bernilai \\\\\\\\\\( \\\\frac{1}{3} \\\\\\\\\\)."", ""Anak makan dua bagian, sehingga ia telah mengkonsumsi \\\\\\\\\\( \\\\frac{2}{3} \\\\\\\\\\) dari permen."", ""Untuk menentukan bagian permen yang tersisa, kurangi bagian yang dikonsumsi dari total bagian."", ""Jadi, \\\\\\\\\\( \\\\frac{3}{3} - \\\\frac{2}{3} = \\\\frac{1}{3} \\\\\\\\\\).""]",\\\( \\frac{1}{3} \\\),"[{""chunk_id"": ""1"", ""source"": ""Soal ini diadaptasi dari kumpulan soal matematika SD tingkat 4""}]",[],pecahan,0.0,False,False,C3-cot max_iters
C3,5,4,kpk_fpb,faktor prima,sedang,"Sebuah bilangan memiliki faktor prima 2, 3, dan 5. Apabila bilangan tersebut dikalikan dengan 6, hasilnya akan menjadi kelipatan persekutuan terkecil (KPK) dari 12 dan 15. Bilangan tersebut adalah...?","[""A. 10"", ""B. 12"", ""C. 15"", ""D. 20""]",A,10,"[""Identifikasi faktor prima dari 12 dan 15:"", ""- Faktor prima 12: 2 x 2 x 3"", ""- Faktor prima 15: 3 x 5"", ""KPK dari 12 dan 15 adalah 2 x 2 x 3 x 5 = 60."", ""Bilangan yang dikalikan dengan 6 menghasilkan KPK 60."", ""Jadi, 60 dibagi 6 untuk mendapatkan bilangan asli:"", ""60 ÷ 6 = 10.""]",60 ÷ 6,"[{""chunk_id"": ""1"", ""source"": ""Soal ini didasarkan pada konsep faktor prima dan kelipatan persekutuan terkecil (KPK).""}]",[],kpk_fpb,0.0,False,True,C3-cot PASS it-0
C3,6,4,skala,perbandingan skala,sedang,"Sebuah gambar menggunakan skala 1:200. Jika jarak sebenarnya antara dua objek adalah 400 meter, berapa panjang garis yang mewakili kedua objek pada gambar?","[""A. 100 cm"", ""B. 150 cm"", ""C. 200 cm"", ""D. 250 cm""]",C,200,"[""Skala 1:200 berarti setiap 1 cm pada gambar mewakili 200 cm di dunia nyata."", ""Konversi 400 meter ke cm: 400 meter = 40000 cm."", ""Jumlah garis pada gambar = 40000 cm / 200 = 200 cm."", ""Jadi, panjang garis pada gambar adalah 200 cm.""]",40000 / 200,"[{""chunk_id"": ""1"", ""source"": ""Belajar Matematika SD Kelas 4""}]",[],skala,0.0,False,True,C3-cot PASS it-0
C3,7,4,pengolahan_data,modus,mudah,"Sebuah kelas memiliki 30 siswa. Hasil ulangan matematika mereka adalah sebagai berikut: 75, 80, 85, 90, 90, 90, 95, 100, 100, 100. Modus dari data tersebut adalah...?","[""A. 75"", ""B. 80"", ""C. 90, 100"", ""D. 95""]",C,"90, 100","[""Identifikasi bilangan yang muncul terbanyak dalam data."", ""Perhatikan bahwa 90 muncul 3 kali."", ""Perhatikan juga bahwa 100 muncul 3 kali."", ""Jadi, nilai yang muncul terbanyak adalah 90 dan 100."", ""Modus dari data ini adalah 90 dan 100.""]","90, 100",[],[],pengolahan_data,0.0,False,False,C3-cot max_iters
C3,8,4,bilangan,bilangan bulat dan pecahan,sulit,"Sebuah kotak berisi 123 kelereng. Jika kelereng itu dibagi menjadi 9 bagian yang sama banyak, berapakah jumlah kelereng yang ada di setiap bagian? Hitunglah hasil bagi dan sisa.","[""A. 13"", ""B. 14"", ""C. 15"", ""D. 16""]",A,13,"[""Berdasarkan soal, kita perlu membagi 123 kelereng menjadi 9 bagian yang sama banyak."", ""Maka, kita akan melakukan pembagian 123 oleh 9."", ""Pembagian 123 oleh 9 dapat dinyatakan sebagai 123 : 9."", ""Melakukan pembagian ini, kita mendapatkan hasil bagi 13 dan sisa 6."", ""Jadi, setiap bagian memiliki 13 kelereng dan terdapat 6 kelereng yang bersisa.""]",123 : 9 = 13 r 6,[],[],bilangan,0.0,False,False,C3-cot max_iters
C3,9,4,aritmetika_sosial,untung,mudah,"Seorang pedagang membeli beras seharga Rp150.000,- dan menjualnya dengan untung 20%. Berapa harga jualnya?","[""A. Rp120.000"", ""B. Rp160.000"", ""C. Rp180.000"", ""D. Rp200.000""]",C,Rp180.000,"[""Hitunglah besarnya untung: Rp150.000 x 20% = Rp30.000"", ""Jumlah harga jual adalah harga beli ditambah untung: Rp150.000 + Rp30.000 = Rp180.000""]",150.000 + (150.000 * 20%),[],[],aritmetika_sosial,0.0,False,False,C3-cot max_iters
C3,10,4,Pecahan,Pengurangan Pecahan,sulit,"Sebuah bak mandi memiliki kapasitas 3/4 liter air. Setelah digunakan, sisa air dalam bak adalah 1/6 liter. Berapa liter air yang telah terbuang dari bak? Tuliskan jawabannya dalam bentuk pecahan sederhana.","[""A. 1/12"", ""B. 2/12"", ""C. 3/12"", ""D. 7/12""]",D,7,"[""Bentuk kedua pecahan menjadi pecahan dengan penyebut yang sama:"", ""3/4 = 9/12"", ""1/6 = 2/12"", ""Hitung selisih kedua pecahan untuk mengetahui berapa liter air yang telah terbuang:"", ""(9/12) - (2/12) = 7/12"", ""Jadi, air yang telah terbuang adalah 7/12 liter.""]",7/12,"[{""chunk_id"": ""12345"", ""source"": ""Contoh soal ini diambil dari buku latihan matematika kelas 4 SD.""}]",[],pecahan,0.0,False,False,C3-cot max_iters
